,Airline,Flight Number,Date of Departure,From,To,Duration,Total Stops,Price
0,Air Asia,I5-764,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
1,IndiGo,6E-2054,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
2,IndiGo,6E-5001,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
3,IndiGo,6E-2046,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
4,IndiGo,6E-5328,"Tue, Feb 8",New Delhi,Mumbai,2h 15m,Non Stop,"2,456"
5,Air Asia,I5-482,"Tue, Feb 8",New Delhi,Mumbai,2h 15m,Non Stop,"2,456"
6,IndiGo,6E-6278,"Tue, Feb 8",New Delhi,Mumbai,2h 20m,Non Stop,"2,456"
7,IndiGo,6E-218,"Tue, Feb 8",New Delhi,Mumbai,2h 20m,Non Stop,"2,456"
8,IndiGo,6E-171,"Tue, Feb 8",New Delhi,Mumbai,2h 25m,Non Stop,"2,456"
9,IndiGo,6E-2081,"Tue, Feb 8",New Delhi,Mumbai,2h 25m,Non Stop,"2,456"
10,Air India,AI-537,"Thu, Feb 24",New Delhi,Chennai,2h 45m,Non Stop,"2,343"
11,Air India,AI-439,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,343"
12,Air India,AI-429,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,343"
13,Air India,AI-540,"Thu, Feb 24",New Delhi,Chennai,2h 55m,Non Stop,"2,343"
14,IndiGo,6E-5012,"Thu, Feb 24",New Delhi,Chennai,2h 45m,Non Stop,"2,637"
15,IndiGo,6E-6238,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,637"
16,IndiGo,6E-6739,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,637"
17,IndiGo,6E-2485,"Thu, Feb 24",New Delhi,Chennai,2h 55m,Non Stop,"2,637"
18,IndiGo,6E-2169,"Thu, Feb 24",New Delhi,Chennai,2h 55m,Non Stop,"2,637"
19,IndiGo,6E-954,"Thu, Feb 24",New Delhi,Chennai,3h 00m,Non Stop,"2,637"
20,SpiceJet,SG-8701/455,"Tue, Jan 18",New Delhi,Goa,9h 45m,1 Stop,"2,950"
21,SpiceJet,SG-8157/455,"Tue, Jan 18",New Delhi,Goa,10h 45m,1 Stop,"2,950"
22,SpiceJet,SG-8169/475,"Tue, Jan 18",New Delhi,Goa,5h 15m,1 Stop,"3,100"
23,SpiceJet,SG-8701/475,"Tue, Jan 18",New Delhi,Goa,17h 40m,1 Stop,"3,100"
24,SpiceJet,SG-8157/475,"Tue, Jan 18",New Delhi,Goa,18h 40m,1 Stop,"3,100"
25,SpiceJet,SG-8913/4495,"Tue, Jan 18",New Delhi,Goa,14h 25m,1 Stop,"3,863"
26,IndiGo,6E-5041/5221,"Tue, Jan 18",New Delhi,Goa,6h 40m,1 Stop,"3,993"
27,Air Asia,I5-482/471,"Tue, Jan 18",New Delhi,Goa,4h 35m,1 Stop,"4,018"
28,Air Asia,I5-482/331,"Tue, Jan 18",New Delhi,Goa,7h 35m,1 Stop,"4,018"
29,SpiceJet,SG-8193/2977,"Tue, Jan 18",New Delhi,Goa,9h 50m,1 Stop,"4,026"
30,SpiceJet,SG-8107/3467,"Wed, Jan 5",New Delhi,Bangalore,14h 55m,1 Stop,"2,943"
31,SpiceJet,SG-8103/3467,"Wed, Jan 5",New Delhi,Bangalore,26h 45m,1 Stop,"2,943"
32,SpiceJet,SG-8185/532,"Wed, Jan 5",New Delhi,Bangalore,7h 45m,1 Stop,"3,052"
33,Air India,AI-803,"Wed, Jan 5",New Delhi,Bangalore,2h 45m,Non Stop,"4,007"
34,Air India,AI-839/515,"Wed, Jan 5",New Delhi,Bangalore,13h 00m,1 Stop,"4,030"
35,Air India,AI-544/515,"Wed, Jan 5",New Delhi,Bangalore,17h 10m,1 Stop,"4,030"
36,Air India,AI-560/515,"Wed, Jan 5",New Delhi,Bangalore,26h 15m,1 Stop,"4,030"
37,SpiceJet,SG-8938/532,"Wed, Jan 5",New Delhi,Bangalore,22h 40m,1 Stop,"4,141"
38,Air Asia,I5-740,"Wed, Jan 5",New Delhi,Bangalore,2h 40m,Non Stop,"4,199"
39,Air Asia,I5-1529,"Wed, Jan 5",New Delhi,Bangalore,2h 50m,Non Stop,"4,199"
40,Air India,AI-560,"Tue, Jan 4",New Delhi,Hyderabad,2h 20m,Non Stop,"2,098"
41,Air India,AI-544,"Tue, Jan 4",New Delhi,Hyderabad,2h 05m,Non Stop,"2,518"
42,Air India,AI-542,"Tue, Jan 4",New Delhi,Hyderabad,2h 10m,Non Stop,"2,518"
43,Air India,AI-839,"Tue, Jan 4",New Delhi,Hyderabad,2h 10m,Non Stop,"3,015"
44,IndiGo,6E-2247,"Tue, Jan 4",New Delhi,Hyderabad,2h 10m,Non Stop,"3,199"
45,IndiGo,6E-2331,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
46,IndiGo,6E-552,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
47,IndiGo,6E-2005,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
48,IndiGo,6E-6205,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
49,IndiGo,6E-967,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
50,Air India,AI-540/549,"Thu, Feb 24",New Delhi,Port Blair,11h 35m,1 Stop,"6,517"
51,Air India,AI-537/549,"Thu, Feb 24",New Delhi,Port Blair,16h 00m,1 Stop,"6,517"
52,Air India,AI-429/549,"Thu, Feb 24",New Delhi,Port Blair,22h 25m,1 Stop,"6,517"
53,Air India,AI-439/549,"Thu, Feb 24",New Delhi,Port Blair,26h 10m,1 Stop,"6,517"
54,Air India,AI-540/551,"Thu, Feb 24",New Delhi,Port Blair,14h 45m,1 Stop,"7,357"
55,Air India,AI-537/551,"Thu, Feb 24",New Delhi,Port Blair,19h 10m,1 Stop,"7,357"
56,Air India,AI-429/551,"Thu, Feb 24",New Delhi,Port Blair,25h 35m,1 Stop,"7,357"
57,Air India,AI-451/487,"Thu, Feb 24",New Delhi,Port Blair,20h 45m,1 Stop,"8,129"
58,Air India,AI-762/787,"Thu, Feb 24",New Delhi,Port Blair,11h 45m,1 Stop,"8,377"
59,Air India,AI-767/787,"Thu, Feb 24",New Delhi,Port Blair,19h 50m,1 Stop,"8,377"
60,Air India,AI-423,"Mon, Jan 17",New Delhi,Kolkata,5h 50m,1 Stop,"2,482"
61,IndiGo,6E-6195/507,"Mon, Jan 17",New Delhi,Kolkata,5h 25m,1 Stop,"3,372"
62,Air India,AI-762,"Mon, Jan 17",New Delhi,Kolkata,2h 05m,Non Stop,"3,428"
63,IndiGo,6E-6613/507,"Mon, Jan 17",New Delhi,Kolkata,10h 30m,1 Stop,"3,686"
64,Air Asia,I5-829,"Mon, Jan 17",New Delhi,Kolkata,2h 10m,Non Stop,"3,999"
65,Air Asia,I5-548,"Mon, Jan 17",New Delhi,Kolkata,2h 25m,Non Stop,"3,999"
66,Air Asia,I5-550,"Mon, Jan 17",New Delhi,Kolkata,2h 40m,Non Stop,"3,999"
67,IndiGo,6E-128/104,"Mon, Jan 17",New Delhi,Kolkata,5h 00m,1 Stop,"3,999"
68,IndiGo,6E-2361/104,"Mon, Jan 17",New Delhi,Kolkata,6h 00m,1 Stop,"3,999"
69,IndiGo,6E-5088/6568,"Mon, Jan 17",New Delhi,Kolkata,7h 20m,1 Stop,"3,999"
70,IndiGo,6E-5336,"Tue, Jan 11",New Delhi,Patna,1h 30m,Non Stop,"2,190"
71,SpiceJet,SG-8721,"Tue, Jan 11",New Delhi,Patna,1h 35m,Non Stop,"2,190"
72,IndiGo,6E-5003,"Tue, Jan 11",New Delhi,Patna,1h 35m,Non Stop,"2,190"
73,Air India,AI-409,"Tue, Jan 11",New Delhi,Patna,1h 35m,Non Stop,"2,190"
74,IndiGo,6E-2078,"Tue, Jan 11",New Delhi,Patna,1h 35m,Non Stop,"2,190"
75,IndiGo,6E-761,"Tue, Jan 11",New Delhi,Patna,1h 40m,Non Stop,"2,190"
76,Air India,AI-415,"Tue, Jan 11",New Delhi,Patna,1h 40m,Non Stop,"2,190"
77,SpiceJet,SG-480,"Tue, Jan 11",New Delhi,Patna,1h 45m,Non Stop,"2,190"
78,IndiGo,6E-2323,"Tue, Jan 11",New Delhi,Patna,1h 45m,Non Stop,"2,190"
79,IndiGo,6E-2346/6277,"Tue, Jan 11",New Delhi,Patna,9h 25m,1 Stop,"2,190"
80,Air India,AI-423/713,"Mon, Feb 7",New Delhi,Imphal,30h 30m,2 Stop(s),"3,935"
81,Air India,AI-762/713,"Mon, Feb 7",New Delhi,Imphal,15h 30m,1 Stop,"4,336"
82,Air India,AI-767/713,"Mon, Feb 7",New Delhi,Imphal,23h 35m,1 Stop,"4,336"
83,Air India,AI-891/889,"Mon, Feb 7",New Delhi,Imphal,21h 35m,1 Stop,"4,360"
84,Air Asia,I5-787/783,"Mon, Feb 7",New Delhi,Imphal,5h 00m,1 Stop,"4,485"
85,Air Asia,I5-783/792,"Mon, Feb 7",New Delhi,Imphal,9h 30m,1 Stop,"4,485"
86,Air Asia,I5-787/792,"Mon, Feb 7",New Delhi,Imphal,10h 55m,1 Stop,"4,485"
87,Air India,AI-889,"Mon, Feb 7",New Delhi,Imphal,4h 25m,1 Stop,"4,555"
88,Air India,AI-764/713,"Mon, Feb 7",New Delhi,Imphal,18h 50m,1 Stop,"4,836"
89,IndiGo,6E-2615,"Mon, Feb 7",New Delhi,Imphal,2h 45m,Non Stop,"4,840"
90,Go First,G8-276,"Fri, Jan 14",New Delhi,Jammu,1h 20m,Non Stop,"2,064"
91,IndiGo,6E-137,"Fri, Jan 14",New Delhi,Jammu,1h 30m,Non Stop,"2,064"
92,Go First,G8-209,"Fri, Jan 14",New Delhi,Jammu,1h 35m,Non Stop,"2,064"
93,IndiGo,6E-609,"Fri, Jan 14",New Delhi,Jammu,1h 35m,Non Stop,"2,064"
94,IndiGo,6E-2457,"Fri, Jan 14",New Delhi,Jammu,1h 35m,Non Stop,"2,064"
95,SpiceJet,SG-160,"Fri, Jan 14",New Delhi,Jammu,1h 20m,Non Stop,"2,066"
96,SpiceJet,SG-8963,"Fri, Jan 14",New Delhi,Jammu,1h 35m,Non Stop,"2,066"
97,Go First,G8-185,"Fri, Jan 14",New Delhi,Jammu,1h 20m,Non Stop,"2,256"
98,Vistara,UK-611,"Fri, Jan 14",New Delhi,Jammu,2h 55m,1 Stop,"2,275"
99,Air India,AI-821,"Fri, Jan 14",New Delhi,Jammu,1h 30m,Non Stop,"3,219"
100,Air Asia,I5-764,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
101,IndiGo,6E-2054,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
102,IndiGo,6E-5001,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
103,IndiGo,6E-2046,"Tue, Feb 8",New Delhi,Mumbai,2h 10m,Non Stop,"2,456"
104,IndiGo,6E-5328,"Tue, Feb 8",New Delhi,Mumbai,2h 15m,Non Stop,"2,456"
105,Air Asia,I5-482,"Tue, Feb 8",New Delhi,Mumbai,2h 15m,Non Stop,"2,456"
106,IndiGo,6E-6278,"Tue, Feb 8",New Delhi,Mumbai,2h 20m,Non Stop,"2,456"
107,IndiGo,6E-218,"Tue, Feb 8",New Delhi,Mumbai,2h 20m,Non Stop,"2,456"
108,IndiGo,6E-171,"Tue, Feb 8",New Delhi,Mumbai,2h 25m,Non Stop,"2,456"
109,IndiGo,6E-2081,"Tue, Feb 8",New Delhi,Mumbai,2h 25m,Non Stop,"2,456"
110,Air India,AI-537,"Thu, Feb 24",New Delhi,Chennai,2h 45m,Non Stop,"2,343"
111,Air India,AI-439,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,343"
112,Air India,AI-429,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,343"
113,Air India,AI-540,"Thu, Feb 24",New Delhi,Chennai,2h 55m,Non Stop,"2,343"
114,IndiGo,6E-5012,"Thu, Feb 24",New Delhi,Chennai,2h 45m,Non Stop,"2,637"
115,IndiGo,6E-6238,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,637"
116,IndiGo,6E-6739,"Thu, Feb 24",New Delhi,Chennai,2h 50m,Non Stop,"2,637"
117,IndiGo,6E-2485,"Thu, Feb 24",New Delhi,Chennai,2h 55m,Non Stop,"2,637"
118,IndiGo,6E-2169,"Thu, Feb 24",New Delhi,Chennai,2h 55m,Non Stop,"2,637"
119,IndiGo,6E-954,"Thu, Feb 24",New Delhi,Chennai,3h 00m,Non Stop,"2,637"
120,SpiceJet,SG-8701/455,"Tue, Jan 18",New Delhi,Goa,9h 45m,1 Stop,"2,950"
121,SpiceJet,SG-8157/455,"Tue, Jan 18",New Delhi,Goa,10h 45m,1 Stop,"2,950"
122,SpiceJet,SG-8169/475,"Tue, Jan 18",New Delhi,Goa,5h 15m,1 Stop,"3,100"
123,SpiceJet,SG-8701/475,"Tue, Jan 18",New Delhi,Goa,17h 40m,1 Stop,"3,100"
124,SpiceJet,SG-8157/475,"Tue, Jan 18",New Delhi,Goa,18h 40m,1 Stop,"3,100"
125,SpiceJet,SG-8913/4495,"Tue, Jan 18",New Delhi,Goa,14h 25m,1 Stop,"3,863"
126,IndiGo,6E-5041/5221,"Tue, Jan 18",New Delhi,Goa,6h 40m,1 Stop,"3,993"
127,Air Asia,I5-482/471,"Tue, Jan 18",New Delhi,Goa,4h 35m,1 Stop,"4,018"
128,Air Asia,I5-482/331,"Tue, Jan 18",New Delhi,Goa,7h 35m,1 Stop,"4,018"
129,SpiceJet,SG-8193/2977,"Tue, Jan 18",New Delhi,Goa,9h 50m,1 Stop,"4,026"
130,SpiceJet,SG-8107/3467,"Wed, Jan 5",New Delhi,Bangalore,14h 55m,1 Stop,"2,943"
131,SpiceJet,SG-8103/3467,"Wed, Jan 5",New Delhi,Bangalore,26h 45m,1 Stop,"2,943"
132,SpiceJet,SG-8185/532,"Wed, Jan 5",New Delhi,Bangalore,7h 45m,1 Stop,"3,052"
133,Air India,AI-803,"Wed, Jan 5",New Delhi,Bangalore,2h 45m,Non Stop,"4,007"
134,Air India,AI-839/515,"Wed, Jan 5",New Delhi,Bangalore,13h 00m,1 Stop,"4,030"
135,Air India,AI-544/515,"Wed, Jan 5",New Delhi,Bangalore,17h 10m,1 Stop,"4,030"
136,Air India,AI-560/515,"Wed, Jan 5",New Delhi,Bangalore,26h 15m,1 Stop,"4,030"
137,SpiceJet,SG-8938/532,"Wed, Jan 5",New Delhi,Bangalore,22h 40m,1 Stop,"4,141"
138,Air Asia,I5-740,"Wed, Jan 5",New Delhi,Bangalore,2h 40m,Non Stop,"4,199"
139,Air Asia,I5-1529,"Wed, Jan 5",New Delhi,Bangalore,2h 50m,Non Stop,"4,199"
140,Air India,AI-560,"Tue, Jan 4",New Delhi,Hyderabad,2h 20m,Non Stop,"2,098"
141,Air India,AI-544,"Tue, Jan 4",New Delhi,Hyderabad,2h 05m,Non Stop,"2,518"
142,Air India,AI-542,"Tue, Jan 4",New Delhi,Hyderabad,2h 10m,Non Stop,"2,518"
143,Air India,AI-839,"Tue, Jan 4",New Delhi,Hyderabad,2h 10m,Non Stop,"3,015"
144,IndiGo,6E-2247,"Tue, Jan 4",New Delhi,Hyderabad,2h 10m,Non Stop,"3,199"
145,IndiGo,6E-2331,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
146,IndiGo,6E-552,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
147,IndiGo,6E-2005,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
148,IndiGo,6E-6205,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
149,IndiGo,6E-967,"Tue, Jan 4",New Delhi,Hyderabad,2h 15m,Non Stop,"3,199"
150,Air India,AI-540/549,"Thu, Feb 24",New Delhi,Port Blair,11h 35m,1 Stop,"6,517"
151,Air India,AI-537/549,"Thu, Feb 24",New Delhi,Port Blair,16h 00m,1 Stop,"6,517"
152,Air India,AI-429/549,"Thu, Feb 24",New Delhi,Port Blair,22h 25m,1 Stop,"6,517"
153,Air India,AI-439/549,"Thu, Feb 24",New Delhi,Port Blair,26h 10m,1 Stop,"6,517"
154,Air India,AI-540/551,"Thu, Feb 24",New Delhi,Port Blair,14h 45m,1 Stop,"7,357"
155,Air India,AI-537/551,"Thu, Feb 24",New Delhi,Port Blair,19h 10m,1 Stop,"7,357"
156,Air India,AI-429/551,"Thu, Feb 24",New Delhi,Port Blair,25h 35m,1 Stop,"7,357"
157,Air India,AI-451/487,"Thu, Feb 24",New Delhi,Port Blair,20h 45m,1 Stop,"8,129"
158,Air India,AI-762/787,"Thu, Feb 24",New Delhi,Port Blair,11h 45m,1 Stop,"8,377"
159,Air India,AI-767/787,"Thu, Feb 24",New Delhi,Port Blair,19h 50m,1 Stop,"8,377"
160,Air India,AI-423,"Mon, Jan 17",New Delhi,Kolkata,5h 50m,1 Stop,"2,482"
161,IndiGo,6E-6195/507,"Mon, Jan 17",New Delhi,Kolkata,5h 25m,1 Stop,"3,372"
162,Air India,AI-762,"Mon, Jan 17",New Delhi,Kolkata,2h 05m,Non Stop,"3,428"
163,IndiGo,6E-6613/507,"Mon, Jan 17",New Delhi,Kolkata,10h 30m,1 Stop,"3,686"
164,Air Asia,I5-829,"Mon, Jan 17",New Delhi,Kolkata,2h 10m,Non Stop,"3,999"
165,Air Asia,I5-548,"Mon, Jan 17",New Delhi,Kolkata,2h 25m,Non Stop,"3,999"
166,Air Asia,I5-550,"Mon, Jan 17",New Delhi,Kolkata,2h 40m,Non Stop,"3,999"
167,IndiGo,6E-128/104,"Mon, Jan 17",New Delhi,Kolkata,5h 00m,1 Stop,"3,999"
168,IndiGo,6E-2361/104,"Mon, Jan 17",New Delhi,Kolkata,6h 00m,1 Stop,"3,999"
169,IndiGo,6E-5088/6568,"Mon, Jan 17",New Delhi,Kolkata,7h 20m,1 Stop,"3,999"
